PRJEB26832,29069476
PRJEB5729,NaN
PRJEB22554,NaN
PRJEB67738,31696235
PRJEB22359,NaN
PRJEB27122,29069476
PRJEB24849,29069476
PRJEB25962,29069476
PRJEB6705,NaN
PRJEB26924,29069476
PRJEB26925,29069476
PRJNA318004,NaN
PRJNA307231,NaN
PRJEB26165,29069476
PRJEB67980,31696235
PRJEB6518,NaN
PRJEB11846,NaN
PRJNA326143,NaN
PRJNA787810,NaN
PRJEB57228,NaN
PRJNA774891,NaN
PRJEB52848,NaN
PRJNA752174,NaN
PRJEB6070,NaN
PRJNA289586,27723761,30747106,34083435
PRJNA982880,NaN
PRJNA811494,NaN
PRJNA859507,NaN
PRJNA805069,NaN
PRJNA782662,NaN
PRJNA736821,NaN
PRJNA668745,NaN
PRJNA669372,NaN
PRJNA665109,NaN
PRJNA561567,10.1158/0008-5472.CAN-18-4108
PRJNA606061,NaN
PRJNA781978,NaN
PRJNA633107,NaN
PRJEB35687,NaN
PRJNA202975,NaN
PRJEB39062,NaN
PRJEB53018,NaN
PRJEB10296,NaN
PRJNA398089,35614211
PRJEB55708,29069476
PRJEB55607,NaN
PRJEB42045,NaN
PRJEB29239,NaN
PRJNA703303,33833065
PRJNA747262,NaN
PRJDB12349,NaN
PRJEB51828,29069476
PRJEB43961,29069476
PRJNA795857,NaN
PRJNA390646,NaN
PRJEB6702,NaN
PRJNA301903,27572443
PRJEB41655,29069476
PRJEB22368,NaN
PRJEB8347,NaN
PRJEB1690,NaN
PRJEB44032,29069476
PRJEB43974,29069476
PRJNA510036,NaN
PRJEB43973,29069476
PRJNA385949,NaN
PRJEB45311,29069476
PRJNA648297,NaN
PRJEB43818,29069476
PRJNA508395,32042169
PRJNA510730,NaN
PRJDB5860,NaN
PRJEB42466,NaN
PRJEB42213,29069476
PRJEB41785,29069476
PRJNA628604,32511695
PRJEB41181,29069476
PRJEB39906,29069476
PRJEB30615,NaN
PRJEB39250,29618989
PRJNA177883,NaN
PRJNA428736,NaN
PRJNA417357,NaN
PRJNA232731,25101067
PRJNA352060,NaN
PRJEB35170,29069476
PRJEB20800,NaN
PRJEB31434,29069476
PRJNA385126,NaN
PRJEB31446,29069476
PRJEB33242,29069476
PRJEB9524,NaN
PRJEB26164,29069476
PRJEB33766,29069476
PRJNA485056,30661755,34083435
PRJEB33329,29069476
PRJEB9818,26351661
PRJEB31588,29069476
PRJEB31850,29069476
PRJEB31778,29069476
PRJEB26926,29069476
PRJEB33719,29069476
PRJNA300541,27172044,34083435
PRJNA231909,30710083
PRJEB9576,NaN
PRJEB12124,NaN
PRJEB26908,29069476
PRJEB22365,NaN
PRJEB22362,NaN
PRJNA215106,24236055
PRJNA363080,NaN
PRJEB22519,NaN
PRJNA268964,27172044,34083435
PRJEB22538,NaN
PRJEB24534,29069476
PRJEB26491,29069476
PRJNA321058,NaN
PRJNA273761,NaN
PRJEB15111,26932197
PRJEB12669,27583441
PRJEB12123,NaN
PRJNA240307,NaN
PRJEB24355,NaN
PRJNA480312,NaN
PRJNA471742,NaN
PRJNA485316,NaN
PRJNA516932,NaN
PRJEB20022,NaN
PRJNA283106,NaN
PRJNA414072,NaN
PRJNA436359,NaN
PRJNA234437,NaN
PRJNA418765,NaN
PRJEB14839,NaN
PRJNA396815,NaN
PRJNA311224,10.1186/s40168-018-0549-6,10.1128/mbio.01586-19,10.1038/ajg.2017.6,10.1080/19490976.2017.1299310,10.1038/s41598-021-84152-6
PRJNA290926,NaN
PRJEB9205,NaN
PRJDB4998,27894251
PRJEB34871,NaN
PRJEB5482,NaN
PRJEB11697,27279225
PRJEB35214,NaN
PRJEB30401,NaN
PRJEB27564,31221587
PRJNA394849,NaN
PRJNA486437,NaN
PRJNA354235,34083435
PRJNA407815,NaN
PRJNA419097,NaN
PRJNA244913,NaN
PRJNA396275,10.1080/20002297.2018.1487741
PRJDB2036,NaN
PRJNA258387,NaN
PRJNA305094,NaN
PRJNA298590,NaN
PRJNA306016,10.1016/j.foodres.2019.02.004
PRJNA302437,NaN
PRJNA263853,NaN
PRJNA318788,27025251
PRJNA324825,NaN
PRJNA323360,NaN
PRJNA321051,NaN
PRJNA317493,NaN
PRJNA276631,NaN
PRJNA389280,NaN
PRJNA510835,NaN
PRJEB33269,29069476
PRJEB24522,NaN
PRJEB25642,NaN
PRJEB17784,NaN
PRJEB26162,29069476
PRJEB29454,NaN
PRJEB26097,29069476
PRJEB24818,29069476
PRJEB26277,29069476
PRJEB26280,29069476
PRJEB26833,29069476
PRJEB26490,29069476
PRJEB25192,29069476
PRJEB28700,NaN
PRJEB21999,28892494
PRJEB28701,NaN
PRJEB1781,NaN
PRJEB28237,NaN
PRJEB24777,29069476
PRJEB24778,29069476
PRJEB25193,NaN
PRJEB24779,29069476
PRJEB24497,NaN
PRJEB24848,29069476
PRJEB27307,31356917
PRJEB25191,29069476
PRJEB25190,29069476
PRJEB24791,29069476
PRJEB24775,29069476
PRJEB24766,29069476
PRJEB24748,29069476
PRJEB24527,29069476
PRJEB24076,NaN
PRJEB24529,29069476
PRJEB24528,29069476
PRJNA167398,NaN
PRJEB24843,30714464
PRJEB19825,NaN
PRJEB24453,NaN
PRJEB24411,31554833
PRJEB24421,NaN
PRJEB23524,NaN
PRJEB23489,NaN
PRJEB22552,NaN
PRJEB22549,NaN
PRJEB22547,NaN
PRJEB22542,NaN
PRJEB22529,NaN
PRJEB22505,NaN
PRJEB22392,NaN
PRJEB22492,NaN
PRJEB22395,NaN
PRJEB23207,NaN
PRJEB22832,NaN
PRJEB22036,NaN
PRJEB21933,NaN
PRJEB16762,NaN
PRJNA43253,20363958
PRJEB21696,NaN
PRJEB14084,NaN
PRJEB20227,NaN
PRJEB21490,NaN
PRJEB20007,NaN
PRJEB21196,NaN
PRJEB20721,NaN
PRJEB6358,NaN
PRJEB20475,NaN
PRJEB1220,24997787
PRJEB13747,NaN
PRJEB4927,25476529
PRJEB17783,NaN
PRJEB19677,28149696
PRJEB19895,NaN
PRJEB13870,34083435
PRJEB19367,NaN
PRJNA60717,21191099
PRJEB19103,NaN
PRJEB19090,27671352
PRJEB12357,27126044,22728514
PRJEB18265,NaN
PRJEB17980,NaN
PRJEB17882,NaN
PRJEB17754,NaN
PRJEB13092,NaN
PRJEB11199,NaN
PRJNA298960,NaN
PRJNA306884,NaN
PRJNA306615,NaN
PRJEB15257,NaN
PRJEB14935,NaN
PRJEB8094,26359913
PRJEB8022,NaN
PRJEB6542,NaN
PRJEB12057,NaN
PRJEB5431,NaN
PRJEB11554,NaN
PRJEB12431,27822556
PRJEB10865,NaN
PRJNA32089,19043404
PRJNA46321,NaN
PRJEB2778,NaN
PRJEB3085,23236009
PRJEB3148,NaN
PRJEB3206,23760301
PRJEB3227,NaN
PRJEB1421,NaN
PRJEB1786,34083435
PRJEB1775,23571589
PRJEB5761,NaN
PRJEB5771,NaN
PRJEB7331,NaN
PRJEB7899,NaN
PRJEB8201,NaN
PRJEB7949,NaN
PRJEB2054,NaN
PRJEB7507,NaN
PRJEB7637,NaN
PRJEB9150,NaN
PRJEB10326,28634574
